192.168.68.34 cu-ud40
192.168.68.39 cu-ud45
192.168.68.40 cu-ud46
192.168.68.44 cu-ud50
192.168.68.45 cu-ud51
192.168.68.46 cu-ud52
192.168.60.11 hadoop-master11
192.168.60.12 hadoop-master12
192.168.60.13 hadoop-master13
192.168.60.14 hadoop-master14
192.168.60.16 hadoop-master16
192.168.60.17 hadoop-master17
192.168.60.18 hadoop-master18
192.168.60.21 hadoop-slaver532
192.168.60.22 hadoop-slaver533
192.168.60.23 hadoop-slaver534
192.168.60.24 hadoop-slaver535
192.168.60.25 hadoop-slaver536
192.168.60.26 hadoop-slaver537
192.168.60.27 hadoop-slaver538
192.168.60.28 hadoop-slaver539
192.168.60.29 hadoop-slaver540
192.168.60.30 hadoop-slaver541
192.168.60.31 hadoop-slaver542
192.168.60.32 hadoop-slaver543
192.168.60.33 hadoop-slaver544
192.168.60.34 hadoop-slaver545
192.168.60.35 hadoop-slaver546
192.168.60.36 hadoop-slaver547
192.168.60.37 hadoop-slaver548
192.168.60.38 hadoop-slaver549
192.168.60.39 hadoop-slaver550
192.168.60.40 hadoop-slaver551
192.168.60.41 hadoop-slaver552
192.168.60.42 hadoop-slaver553
192.168.60.43 hadoop-slaver554
192.168.60.44 hadoop-slaver555
192.168.60.45 hadoop-slaver556
192.168.60.46 hadoop-slaver557
192.168.60.47 hadoop-slaver558
192.168.60.48 hadoop-slaver559
192.168.60.49 hadoop-slaver560
192.168.60.50 hadoop-slaver561
192.168.60.51 hadoop-slaver562
192.168.60.52 hadoop-slaver563
192.168.60.53 hadoop-slaver564
192.168.60.54 hadoop-slaver565
192.168.60.55 hadoop-slaver566
192.168.60.56 hadoop-slaver567
192.168.60.57 hadoop-slaver568
192.168.60.58 hadoop-slaver569
192.168.60.59 hadoop-slaver570
192.168.60.60 hadoop-slaver571
192.168.60.61 hadoop-slaver572
192.168.60.62 hadoop-slaver573
192.168.60.63 hadoop-slaver574
192.168.60.64 hadoop-slaver575
192.168.60.65 hadoop-slaver576
192.168.60.66 hadoop-slaver577
192.168.60.67 hadoop-slaver578
192.168.60.68 hadoop-slaver579
192.168.60.69 hadoop-slaver580
192.168.60.70 hadoop-slaver581
192.168.60.71 hadoop-slaver582
192.168.60.72 hadoop-slaver583
192.168.60.73 hadoop-slaver584
192.168.60.74 hadoop-slaver585
192.168.60.75 hadoop-slaver586
192.168.60.76 hadoop-slaver587
192.168.60.77 hadoop-slaver588
192.168.60.78 hadoop-slaver589
192.168.60.79 hadoop-slaver590
192.168.60.80 hadoop-slaver591
192.168.60.81 hadoop-slaver592
192.168.60.82 hadoop-slaver593
192.168.60.83 hadoop-slaver594
192.168.60.84 hadoop-slaver595
192.168.60.85 hadoop-slaver596
192.168.60.86 hadoop-slaver597
192.168.60.87 hadoop-slaver598
192.168.60.88 hadoop-slaver599
192.168.60.89 hadoop-slaver600
192.168.60.90 hadoop-slaver601
192.168.60.91 hadoop-slaver602
192.168.60.92 hadoop-slaver603
192.168.60.93 hadoop-slaver604
192.168.60.94 hadoop-slaver605
192.168.60.95 hadoop-slaver606
192.168.60.96 hadoop-slaver607
